Date,AAPL,GLD,JPM,MSFT,TLT,XOM
2007-01-03,2.518540859222412,62.279998779296875,29.818946838378906,21.19638442993164,50.63363265991211,38.97126770019531
2007-01-04,2.5744428634643555,61.650001525878906,29.89337730407715,21.160898208618164,50.94063949584961,38.240318298339844
2007-01-05,2.556108236312866,60.16999816894531,29.64525604248047,21.040218353271484,50.718910217285156,38.513763427734375
2007-01-08,2.5687313079833984,60.47999954223633,29.7445068359375,21.246078491210938,50.80988311767578,38.203514099121094
2007-01-09,2.7821149826049805,60.849998474121094,29.620437622070312,21.267370223999023,50.80988311767578,37.90901565551758
2007-01-10,2.9152562618255615,60.59000015258789,29.83755874633789,21.05440902709961,50.58246994018555,37.33058547973633
2007-01-11,2.8791918754577637,60.630001068115234,29.967817306518555,21.79267120361328,50.28681182861328,37.32530212402344
2007-01-12,2.8437275886535645,62.16999816894531,29.769330978393555,22.154701232910156,50.053714752197266,38.208770751953125
2007-01-16,2.9182612895965576,61.970001220703125,30.017444610595703,22.11920928955078,50.16176223754883,37.66712951660156
2007-01-17,2.853644371032715,62.63999938964844,30.042274475097656,22.076614379882812,50.00822448730469,38.10358810424805
2007-01-18,2.6769256591796875,62.2599983215332,29.868572235107422,22.005630493164062,50.16176223754883,37.840667724609375
2007-01-19,2.6597955226898193,63.0,30.24697494506836,22.083715438842773,50.025291442871094,38.66625213623047
2007-01-22,2.6084022521972656,62.720001220703125,30.805269241333008,21.80687141418457,50.14469909667969,38.334983825683594
2007-01-23,2.5756428241729736,64.2300033569336,30.91070556640625,21.821062088012695,49.8149528503418,39.171085357666016
2007-01-24,2.605698347091675,64.33000183105469,31.2395076751709,22.06951141357422,49.80923843383789,39.38669204711914
2007-01-25,2.5921738147735596,64.05999755859375,31.146438598632812,21.615203857421875,49.4510498046875,38.6609992980957
2007-01-26,2.5660269260406494,64.16999816894531,30.830080032348633,21.72168731689453,49.41130447387695,38.70832061767578
2007-01-29,2.5828566551208496,63.77000045776367,30.687416076660156,21.671987533569336,49.30323791503906,38.492733001708984
2007-01-30,2.5711352825164795,64.22000122070312,31.127840042114258,21.636497497558594,49.36011505126953,39.11849594116211
2007-01-31,2.576545476913452,64.83000183105469,31.59307098388672,21.9062557220459,49.77513885498047,38.96600341796875
2007-02-01,2.546792507171631,65.22000122070312,31.766765594482422,21.693288803100586,49.715206146240234,39.48134231567383
2007-02-02,2.5470941066741943,64.27999877929688,31.59307098388672,21.430644989013672,49.77800369262695,39.72322082519531
2007-02-05,2.5227482318878174,64.30999755859375,31.61168098449707,21.018922805786133,49.846492767333984,39.791595458984375
2007-02-06,2.529059648513794,64.79000091552734,31.636503219604492,20.94794273376465,50.120521545410156,39.68116760253906
2007-02-07,2.589169502258301,64.62999725341797,31.766765594482422,20.84855842590332,50.268917083740234,39.4963264465332
2007-02-08,2.59006929397583,65.5199966430664,31.59307098388672,20.77047348022461,50.30888366699219,39.850162506103516
2007-02-09,2.502612352371216,66.12000274658203,31.276704788208008,20.571712493896484,50.02348709106445,39.723411560058594
2007-02-12,2.550999164581299,65.66999816894531,31.28911590576172,20.543317794799805,49.909271240234375,39.395992279052734
2007-02-13,2.5455892086029053,65.83999633789062,31.6054744720459,20.664417266845703,49.80080795288086,39.84488296508789
2007-02-14,2.5636227130889893,66.37000274658203,31.897037506103516,20.942218780517578,50.274635314941406,39.9240837097168
2007-02-15,2.5609171390533447,66.41000366210938,31.766765594482422,20.984962463378906,50.423038482666016,39.78677749633789
2007-02-16,2.5494964122772217,66.36000061035156,31.79158592224121,20.472082138061523,50.59999465942383,39.76039505004883
2007-02-20,2.5816538333892822,65.30999755859375,32.02730941772461,20.53619956970215,50.71419143676758,39.53858184814453
2007-02-21,2.680833101272583,67.3499984741211,32.03972244262695,20.906597137451172,50.628562927246094,39.491050720214844
2007-02-22,2.690150022506714,67.1500015258789,32.03349685668945,20.93509292602539,50.35456466674805,39.64947509765625
2007-02-23,2.6769256591796875,67.72000122070312,31.65509796142578,20.58605194091797,50.71419143676758,39.723411560058594
2007-02-26,2.6600964069366455,68.0999984741211,31.518644332885742,20.7071475982666,51.05097198486328,39.818477630615234
2007-02-27,2.5224475860595703,65.41000366210938,30.532323837280273,19.852371215820312,51.6960563659668,37.93315505981445
2007-02-28,2.542884588241577,66.4800033569336,30.637767791748047,20.066070556640625,51.46201705932617,37.853946685791016
2007-03-01,2.6165173053741455,65.81999969482422,30.519926071166992,20.009075164794922,51.4293327331543,37.489559173583984
2007-03-02,2.5669281482696533,63.709999084472656,29.89337730407715,19.77400779724121,51.68721389770508,36.97203063964844
2007-03-05,2.5942764282226562,62.93000030517578,29.490182876586914,19.624422073364258,51.773136138916016,36.95618438720703
2007-03-06,2.650479316711426,64.1500015258789,30.09809684753418,19.82387351989746,51.618431091308594,37.49484634399414
2007-03-07,2.6363539695739746,64.30000305175781,29.998830795288086,19.667163848876953,51.81899642944336,37.832828521728516
2007-03-08,2.6447689533233643,64.4800033569336,30.234575271606445,19.460586547851562,51.773136138916016,37.943721771240234
2007-03-09,2.6438663005828857,64.25,30.284204483032227,19.439220428466797,51.22877883911133,37.55821990966797
2007-03-12,2.700969934463501,64.37000274658203,30.29659080505371,19.546070098876953,51.4293327331543,37.42618942260742
2007-03-13,2.656790256500244,63.720001220703125,28.969125747680664,19.033191680908203,51.7387809753418,36.91923141479492
2007-03-14,2.7048771381378174,63.939998626708984,29.34129524230957,19.517574310302734,51.50382995605469,37.505401611328125
